ship-city,Latitude,Longitude
Bengaluru,12.9767936,77.590082
Hyderabad,17.360589,78.4740613
Mumbai,19.0785451,72.878176
Chennai,13.0836939,80.270186
New Delhi,28.6138954,77.2090057
Pune,18.521428,73.8544541
Kolkata,22.5726459,88.3638953
Gurugram,28.4646148,77.0299194
Thane,19.1943294,72.9701779
Noida,28.5706333,77.3272147
Lucknow,26.8381,80.9346001
Ghaziabad,28.6711527,77.4120356
Ahmedabad,23.0216238,72.5797068
Navi Mumbai,19.0308262,73.0198537
Bangalore,12.9767936,77.590082
Jaipur,26.9154576,75.8189817
Coimbatore,11.0018115,76.9628425
Visakhapatnam,17.7231276,83.3012842
Faridabad,28.4031478,77.3105561
Patna,25.6093239,85.1235252
Bhubaneswar,20.2602964,85.8394521
Pimpri Chinchwad,18.6279288,73.8009829
Guwahati,26.1823701,91.7501234
Nagpur,21.1498134,79.0820556
Vadodara,22.2973142,73.1942567
Thiruvananthapuram,8.4882267,76.947551
Dehradun,30.3255646,78.0436813
Secunderabad,17.4337246,78.5006827
Surat,21.2094892,72.8317058
Greater Noida,28.4670734,77.5137649
Kalyan,19.2396742,73.1366482
Indore,22.7203616,75.8681996
Kanpur,26.4609135,80.3217588
Ernakulam,9.98408,76.2741457
Bhopal,23.2584857,77.401989
Vijayawada,16.5087573,80.6185089
Ranchi,23.3700501,85.3250387
Guntur,16.2915189,80.4541588
Mysuru,12.3051828,76.6553609
Varanasi,25.3356491,83.0076292
Nashik,20.0112475,73.7902364
Mangaluru,12.8698101,74.8430082
Delhi,28.6138954,77.2090057
Gurgaon,28.4646148,77.0299194
Vasai Virar,19.4210423,72.8197221
Allahabad,25.4381302,81.8338005
Chandigarh,30.7334421,76.7797143
Jamshedpur,22.8015194,86.2029579
Thrissur,10.5270099,76.214621
Nellore,14.4493717,79.9873763
Mohali,30.7041168,76.7176885
Madurai,9.9261153,78.1140983
Jammu,32.7185614,74.8580917
Puducherry,11.9340568,79.8306447
Gorakhpur,26.7600217,83.3668129
Agra,27.1752554,78.0098161
New Town,22.5882834,88.4734476
Kozhikode,11.2450558,75.7754716
Tirupati,13.6316368,79.4231711
Meerut,28.9826533,77.7081013
Palakkad,10.7681928,76.6521319
Ludhiana,30.9090157,75.851601
Howrah,22.5736296,88.3251045
Rajkot,22.3053263,70.8028377
Warangal,17.9820644,79.5970954
Udaipur,24.578721,73.6862571
Imphal,24.7991162,93.9364419
Raipur,21.2380912,81.6336993
Jalandhar,31.3323762,75.576889
Kottayam,9.591564,76.5221599
Kochi,9.9674277,76.2454436
Cuttack,20.4686,85.8792
Tiruchirappalli,10.804973,78.6870296
Siliguri,26.7164127,88.4309916
Jabalpur,23.1701522,79.9324505
Vellore,12.9071753,79.1309695
Port Blair,11.6645348,92.7390448
Kollam,8.8879509,76.5955013
Udupi,13.3419169,74.7473232
Jodhpur,26.2967719,73.0351433
Salem,11.6551982,78.1581771
Srinagar,34.0747444,74.8204443
Amritsar,31.6343083,74.8736788
Kakinada,16.9437385,82.2350607
Gwalior,26.2037247,78.1573628
